Category	Focus	English	Turkish
Airport	Main	Aeroplane	Uçak
Airport	Main	Airline	Havayolu
Airport	Main	Airport	Havaalanı / Havalimanı
Airport	Main	Arrival	Varış
Airport	Main	Customs	Gümrük
Airport	Main	Departure	Kalkış
Airport	Main	Domestic	Yurtiçi
Airport	Main	Flight	Uçuş
Airport	Main	Hand luggage	El bagajı
Airport	Main	International	Yurtdışı
Airport	Main	Luggage	Bagaj
Airport	Main	Passenger	Yolcu
Airport	Main	Passport	Pasaport
Airport	Main	Runway	Pist
Airport	Main	Security Control	Güvenlik Kontrolü
Airport	Main	Terminal	Terminal
Airport	Main	Ticket	Bilet
Animals	Main	Animal	Hayvan
Animals	Main	Bear	Ayı
Animals	Main	Bird	Kuş
Animals	Main	Camel	Deve
Animals	Main	Cat	Kedi
Animals	Main	Cheetah	Çita
Animals	Main	Chicken	Tavuk
Animals	Main	Cow	İnek
Animals	Main	Dog	Köpek
Animals	Main	Donkey	Eşek
Animals	Main	Duck	Ördek
Animals	Main	Eagle	Kartal
Animals	Main	Elephant	Fil
Animals	Main	Fish	Balık
Animals	Main	Giraffe	Zürafa
Animals	Main	Horse	At
Animals	Main	Kangaroo	Kanguru
Animals	Main	Lion	Aslan
Animals	Main	Monkey	Maymun
Animals	Main	Mouse	Fare
Animals	Main	Owl	Baykuş
Animals	Main	Penguin	Penguen
Animals	Main	Rabbit	Tavşan
Animals	Main	Sheep	Koyun
Animals	Main	Snake	Yılan
Animals	Main	Spider	Örümcek
At Home	General	Chair	Sandalye
At Home	General	Clock	Saat
At Home	General	Desk	Masa
At Home	General	Door	Kapı
At Home	General	House	Ev
At Home	General	Light	Işık
At Home	General	Room	Oda
At Home	General	Stairs	Merdiven
At Home	General	Window	Pencere
At Home	Living room	Bookshelf	Kitaplık
At Home	Living room	Coffee table	Sehpa
At Home	Living room	Couch	Kanepe
At Home	Living room	Fireplace	Şömine
At Home	Living room	Living room	Oturma odası
At Home	Living room	Rug	Halı
At Home	Living room	Vase	Vazo
At Home	Bedroom	Alarm clock	Çalar saat
At Home	Bedroom	Bed	Yatak
At Home	Bedroom	Bedroom	Yatak odası
At Home	Bedroom	Blanket	Battaniye
At Home	Bedroom	Computer	Bilgisayar
At Home	Bedroom	Curtain	Perde
At Home	Bedroom	Drawer	Çekmece
At Home	Bedroom	Lamp	Lamba
At Home	Bedroom	Pillow	Yastık
At Home	Bedroom	Wardrobe	Gardırop
At Home	Kitchen	Dinner Table	Yemek masası
At Home	Kitchen	Dishwasher	Bulaşık makinesi
At Home	Kitchen	Fridge	Buzdolabı
At Home	Kitchen	Kitchen	Mutfak
At Home	Kitchen	Oven	Fırın
At Home	Kitchen	Pot	Tencere
At Home	Kitchen	Stove	Ocak
At Home	Kitchen	Teapot	Çaydanlık
At Home	Bathroom	Bathroom	Banyo
At Home	Bathroom	Mirror	Ayna
At Home	Bathroom	Shower	Duş
At Home	Bathroom	Soap	Sabun
At Home	Bathroom	Tap	Musluk
At Home	Bathroom	Toothbrush	Diş fırçası
At Home	Bathroom	Toothpaste	Diş macunu
At Home	Bathroom	Towel	Havlu
At Home	Clothing	Belt	Kemer
At Home	Clothing	Blouse	Bluz
At Home	Clothing	Gloves	Eldiven
At Home	Clothing	Headscarf	Eşarp / Başörtüsü
At Home	Clothing	Jacket	Mont
At Home	Clothing	Jeans	Kot pantolon
At Home	Clothing	Jersey	Kazak
At Home	Clothing	Jubbah / Thobe	Cübbe
At Home	Clothing	Overcoat (Men's)	Palto
At Home	Clothing	Overcoat (Women's)	Manto
At Home	Clothing	Pants / Trousers	Pantolon
At Home	Clothing	Pyjamas	Pijama
At Home	Clothing	Shirt	Gömlek
At Home	Clothing	Shoes	Ayakkabı
At Home	Clothing	Skirt	Etek
At Home	Clothing	Socks	Çorap
At Home	Clothing	Suit	Takım elbise
At Home	Clothing	Tie	Kravat
At Home	Clothing	Tracksuit	Eşofman
At Home	Clothing	T-shirt	Tişört
At Home	Clothing	Underwear	İç çamaşır
Colors	Main	White	Beyaz
Colors	Main	Grey	Gri
Colors	Main	Turquoise	Türküaz
Colors	Main	Blue	Mavi
Colors	Main	Navy	Lacivert
Colors	Main	Green	Yeşil
Colors	Main	Yellow	Sarı
Colors	Main	Orange	Turuncu
Colors	Main	Red	Kırmızı
Colors	Main	Pink	Pembe
Colors	Main	Purple	Mor
Colors	Main	Brown	Kahverengi
Colors	Main	Black	Siyah
Countries	Africa (Afrika)	Algeria	Cezayir
Countries	Africa (Afrika)	Angola	Angola
Countries	Africa (Afrika)	Botswana	Botsvana
Countries	Africa (Afrika)	Cameroon	Kamerun
Countries	Africa (Afrika)	Central African Republic	Orta Afrika Cumhuriyeti
Countries	Africa (Afrika)	Democratic Republic of Congo	Demokratik Kongo Cumhuriyeti
Countries	Africa (Afrika)	Egypt	Mısır
Countries	Africa (Afrika)	Ethiopia	Etiyopya
Countries	Africa (Afrika)	Gabon	Gabon
Countries	Africa (Afrika)	Ghana	Gana
Countries	Africa (Afrika)	Ivory Coast	Fildişi Kıyısı
Countries	Africa (Afrika)	Kenya	Kenya
Countries	Africa (Afrika)	Libya	Libya
Countries	Africa (Afrika)	Malawi	Malavi
Countries	Africa (Afrika)	Mali	Mali
Countries	Africa (Afrika)	Mauritania	Moritanya
Countries	Africa (Afrika)	Morocco	Fas
Countries	Africa (Afrika)	Mozambique	Mozambik
Countries	Africa (Afrika)	Namibia	Namibya
Countries	Africa (Afrika)	Nigeria	Nijerya
Countries	Africa (Afrika)	Republic of the Congo	Kongo Cumhuriyeti
Countries	Africa (Afrika)	Senegal	Senegal
Countries	Africa (Afrika)	Somalia	Somali
Countries	Africa (Afrika)	South Africa	Güney Afrika
Countries	Africa (Afrika)	Sudan	Sudan
Countries	Africa (Afrika)	Tanzania	Tanzanya
Countries	Africa (Afrika)	Tunisia	Tunus
Countries	Africa (Afrika)	Uganda	Uganda
Countries	Africa (Afrika)	Zambia	Zambiya
Countries	Africa (Afrika)	Zimbabwe	Zimbabve
Countries	Asia (Asya)	Afghanistan	Afganistan
Countries	Asia (Asya)	Armenia	Ermenistan
Countries	Asia (Asya)	Azerbaijan	Azerbaycan
Countries	Asia (Asya)	Bangladesh	Bangladeş
Countries	Asia (Asya)	Bahrain	Bahreyn
Countries	Asia (Asya)	Cambodia	Kamboçya
Countries	Asia (Asya)	Chechnya	Çeçenistan
Countries	Asia (Asya)	China	Çin
Countries	Asia (Asya)	Georgia	Gürcistan
Countries	Asia (Asya)	Hong Kong	Hong Kong
Countries	Asia (Asya)	India	Hindistan
Countries	Asia (Asya)	Indonesia	Endonezya
Countries	Asia (Asya)	Iran	İran
Countries	Asia (Asya)	Iraq	Irak
Countries	Asia (Asya)	Israel	İsrail
Countries	Asia (Asya)	Japan	Japonya
Countries	Asia (Asya)	Jordan	Ürdün
Countries	Asia (Asya)	Kazakhstan	Kazakistan
Countries	Asia (Asya)	Kuwait	Kuveyt
Countries	Asia (Asya)	Kyrgyzstan	Kırgızistan
Countries	Asia (Asya)	Lebanon	Lübnan
Countries	Asia (Asya)	Malaysia	Malezya
Countries	Asia (Asya)	Mongolia	Moğolistan
Countries	Asia (Asya)	North Korea	Kuzey Kore
Countries	Asia (Asya)	Oman	Umman
Countries	Asia (Asya)	Pakistan	Pakistan
Countries	Asia (Asya)	Palestine	Filistin
Countries	Asia (Asya)	Philippines	Filipinler
Countries	Asia (Asya)	Qatar	Katar
Countries	Asia (Asya)	Saudi Arabia	Suudi Arabistan
Countries	Asia (Asya)	South Korea	Güney Kore
Countries	Asia (Asya)	Syria	Suriye
Countries	Asia (Asya)	Tajikistan	Tacikistan
Countries	Asia (Asya)	Türkiye	Türkiye
Countries	Asia (Asya)	Turkmenistan	Türkmenistan
Countries	Asia (Asya)	United Arab Emirates	Birleşik Arap Emirlikleri
Countries	Asia (Asya)	Uzbekistan	Özbekistan
Countries	Asia (Asya)	Vietnam	Vietnam
Countries	Asia (Asya)	Yemen	Yemen
Countries	Europe (Avrupa)	Albania	Arnavutluk
Countries	Europe (Avrupa)	Austria	Avusturya
Countries	Europe (Avrupa)	Belarus	Belarus / Beyaz Rusya
Countries	Europe (Avrupa)	Belgium	Belçika
Countries	Europe (Avrupa)	Bosnia Herzegovina	Bosna Hersek
Countries	Europe (Avrupa)	Bulgaria	Bulgaristan
Countries	Europe (Avrupa)	Croatia	Hırvatistan
Countries	Europe (Avrupa)	Cyprus	Kıbrıs
Countries	Europe (Avrupa)	Czech Republic	Çek Cumhuriyeti
Countries	Europe (Avrupa)	Denmark	Danimarka
Countries	Europe (Avrupa)	England	İngiltere
Countries	Europe (Avrupa)	Estonia	Estonya
Countries	Europe (Avrupa)	Finland	Finlandiya
Countries	Europe (Avrupa)	France	Fransa
Countries	Europe (Avrupa)	Georgia	Gürcistan
Countries	Europe (Avrupa)	Germany	Almanya
Countries	Europe (Avrupa)	Greece	Yunanistan
Countries	Europe (Avrupa)	Holland	Hollanda
Countries	Europe (Avrupa)	Hungary	Macaristan
Countries	Europe (Avrupa)	Ireland	İrlanda
Countries	Europe (Avrupa)	Italy	İtalya
Countries	Europe (Avrupa)	Kosovo	Kosova
Countries	Europe (Avrupa)	Latvia	Letonya
Countries	Europe (Avrupa)	Lithuania	Litvanya
Countries	Europe (Avrupa)	Luxembourg	Lüksemburg
Countries	Europe (Avrupa)	Malta	Malta
Countries	Europe (Avrupa)	Macedonia	Makedonya
Countries	Europe (Avrupa)	Moldova	Moldova
Countries	Europe (Avrupa)	Montenegro	Karadağ
Countries	Europe (Avrupa)	Northern Ireland	Kuzey İrlanda
Countries	Europe (Avrupa)	Norway	Norveç
Countries	Europe (Avrupa)	Poland	Polonya
Countries	Europe (Avrupa)	Portugal	Portekiz
Countries	Europe (Avrupa)	Romania	Romanya
Countries	Europe (Avrupa)	Russia	Rusya
Countries	Europe (Avrupa)	Scotland	İskoçya
Countries	Europe (Avrupa)	Serbia	Sırbistan
Countries	Europe (Avrupa)	Slovakia	Slovakya
Countries	Europe (Avrupa)	Slovenia	Slovenya
Countries	Europe (Avrupa)	Spain	İspanya
Countries	Europe (Avrupa)	Sweden	İsveç
Countries	Europe (Avrupa)	Switzerland	İsviçre
Countries	Europe (Avrupa)	Ukraine	Ukrayna
Countries	Europe (Avrupa)	Wales	Galler
Countries	North America (Kuzey Amerİka)	Canada	Kanada
Countries	North America (Kuzey Amerİka)	Costa Rica	Kosta Rika
Countries	North America (Kuzey Amerİka)	Cuba	Küba
Countries	North America (Kuzey Amerİka)	Haiti	Haiti
Countries	North America (Kuzey Amerİka)	Mexico	Meksika
Countries	North America (Kuzey Amerİka)	Panama	Panama
Countries	North America (Kuzey Amerİka)	United States of America	Amerika Birleşik Devletleri
Countries	South America (Güney Amerİka)	Argentina	Arjantin
Countries	South America (Güney Amerİka)	Bolivia	Bolivya
Countries	South America (Güney Amerİka)	Brazil	Brezilya
Countries	South America (Güney Amerİka)	Chile	Şili
Countries	South America (Güney Amerİka)	Colombia	Kolombiya
Countries	South America (Güney Amerİka)	Ecuador	Ekvador
Countries	South America (Güney Amerİka)	Paraguay	Paraguay
Countries	South America (Güney Amerİka)	Peru	Peru
Countries	South America (Güney Amerİka)	Uruguay	Uruguay
Countries	South America (Güney Amerİka)	Venezuela	Venezuela
Countries	Oceania (Okyanusya)	Australia	Avustralya
Countries	Oceania (Okyanusya)	Fiji	Fiji
Countries	Oceania (Okyanusya)	New Zealand	Yeni Zelanda
Countries	Oceania (Okyanusya)	Papua New Guinea	Papua Yeni Gine
Countries	Oceania (Okyanusya)	Samoa	Samoa
Countries	Oceania (Okyanusya)	Tonga	Tonga
Currency	Main	Dirham	Dirhem
Currency	Main	Dollar	Dolar
Currency	Main	Euro	Euro / Avro
Currency	Main	Franc	Frank
Currency	Main	Pound	Sterlin
Currency	Main	Rupee	Rupi
Currency	Main	Yen	Yen
Time	Days	Monday	Pazartesi
Time	Days	Tuesday	Salı
Time	Days	Wednesday	Çarşamba
Time	Days	Thursday	Perşembe
Time	Days	Friday	Cuma
Time	Days	Saturday	Cumartesi
Time	Days	Sunday	Pazar
Time	Days	Today	Bugün
Time	Days	Yesterday	Dün
Time	Days	Tomorrow	Yarın
Time	Days	Day before yesterday	Önceki gün / Evvelsi gün
Time	Days	Day after tomorrow	Öbür gün
Time	Days	Day	Gün
Time	Days	Week	Hafta
Time	Days	Month	Ay
Time	Days	Year	Yıl / Sene
Time	Days	Century	Yüzyıl
Time	Months	January	Ocak
Time	Months	February	Şubat
Time	Months	March	Mart
Time	Months	April	Nisan
Time	Months	May	Mayıs
Time	Months	June	Haziran
Time	Months	July	Temmuz
Time	Months	August	Ağustos
Time	Months	September	Eylül
Time	Months	October	Ekim
Time	Months	November	Kasım
Time	Months	December	Aralık
Time	Seasons	Spring	İlkbahar
Time	Seasons	Summer	Yaz
Time	Seasons	Autumn	Sonbahar
Time	Seasons	Winter	Kış
Time	Times of the day	Sunrise	Gündoğumu
Time	Times of the day	Morning	Sabah
Time	Times of the day	Midday	Öğle / Öğlen
Time	Times of the day	Afternoon	Öğleden sonra
